id	name	type	keywords	features	address	open_time
place_012	北京林业大学	校园	["大学", "教育", "林业", "生态", "环境"]	["林业科学", "生态保护", "园林设计", "环境工程"]	北京市海淀区清华东路35号	校园参观时间：09:00-17:00（需预约）
place_013	北京中医药大学	校园	["大学", "教育", "中医", "医学", "传统"]	["中医药学", "传统医学", "针灸推拿", "中药研发"]	北京市朝阳区北三环东路11号	校园参观时间：09:00-17:00（需预约）
place_014	北京师范大学	校园	["大学", "教育", "师范", "教育学", "心理学"]	["师范教育", "教育科学", "心理学", "文理基础"]	北京市海淀区新街口外大街19号	校园参观时间：09:00-17:00（需预约）
place_015	北京外国语大学	校园	["大学", "教育", "外语", "国际", "翻译"]	["多语种教学", "国际交流", "翻译研究", "外交人才"]	北京市海淀区西三环北路2号	校园参观时间：09:00-17:00（需预约）
place_016	中国传媒大学	校园	["大学", "教育", "传媒", "新闻", "艺术"]	["新闻传播", "广播电视", "数字媒体", "艺术创作"]	北京市朝阳区定福庄东街1号	校园参观时间：09:00-17:00（需预约）
place_017	中央财经大学	校园	["大学", "教育", "财经", "经济", "管理"]	["经济学", "金融学", "会计学", "管理科学"]	北京市海淀区学院南路39号	校园参观时间：09:00-17:00（需预约）
place_018	对外经济贸易大学	校园	["大学", "教育", "贸易", "经济", "国际"]	["国际贸易", "经济外交", "商务英语", "跨国经营"]	北京市朝阳区惠新东街10号	校园参观时间：09:00-17:00（需预约）
place_019	北京体育大学	校园	["大学", "教育", "体育", "运动", "健康"]	["体育科学", "运动训练", "体育教育", "运动医学"]	北京市海淀区信息路48号	校园参观时间：09:00-17:00（需预约）
place_020	中央音乐学院	校园	["大学", "教育", "音乐", "艺术", "表演"]	["音乐表演", "音乐创作", "音乐理论", "艺术实践"]	北京市西城区鲍家街43号	校园参观时间：09:00-17:00（需预约）
place_021	中央民族大学	校园	["大学", "教育", "民族", "文化", "历史"]	["民族学", "民族文化", "语言研究", "历史传承"]	北京市海淀区中关村南大街27号	校园参观时间：09:00-17:00（需预约）
place_022	中国政法大学	校园	["大学", "教育", "法学", "政治", "司法"]	["法学教育", "司法实务", "政治学", "人权研究"]	北京市昌平区府学路27号	校园参观时间：09:00-17:00（需预约）
place_023	华北电力大学	校园	["大学", "教育", "电力", "工程", "能源"]	["电力工程", "能源科学", "自动化", "新能源技术"]	北京市昌平区回龙观北农路2号	校园参观时间：09:00-17:00（需预约）
place_024	中国地质大学(北京)	校园	["大学", "教育", "地质", "资源", "环境"]	["地质科学", "资源勘探", "环境工程", "地球物理"]	北京市海淀区学院路29号	校园参观时间：09:00-17:00（需预约）
place_025	中国矿业大学(北京)	校园	["大学", "教育", "矿业", "工程", "安全"]	["矿业工程", "安全科学", "测绘工程", "地质工程"]	北京市海淀区学院路丁11号	校园参观时间：09:00-17:00（需预约）
place_026	中国石油大学(北京)	校园	["大学", "教育", "石油", "化工", "能源"]	["石油工程", "化学工程", "地质勘探", "新能源"]	北京市昌平区府学路18号	校园参观时间：09:00-17:00（需预约）
place_027	天津大学	校园	["大学", "教育", "工程", "建筑", "化工"]	["建筑工程", "化学工程", "机械工程", "电子信息"]	天津市南开区卫津路92号	校园参观时间：09:00-17:00（需预约）
place_028	天津医科大学	校园	["大学", "教育", "医学", "临床", "生物"]	["临床医学", "基础医学", "口腔医学", "医学技术"]	天津市和平区气象台路22号	校园参观时间：09:00-17:00（需预约）
place_029	河北工业大学	校园	["大学", "教育", "工程", "材料", "电气"]	["材料科学", "电气工程", "机械工程", "化学工程"]	天津市北辰区西平道5340号	校园参观时间：09:00-17:00（需预约）
place_030	太原理工大学	校园	["大学", "教育", "理工", "材料", "化工"]	["材料工程", "化学工程", "机械工程", "信息技术"]	山西省太原市迎泽西大街79号	校园参观时间：09:00-17:00（需预约）
place_031	内蒙古大学	校园	["大学", "教育", "蒙古学", "生物", "草原"]	["蒙古学", "生物科学", "草原生态", "民族文化"]	内蒙古自治区呼和浩特市大学西路235号	校园参观时间：09:00-17:00（需预约）
place_032	大连理工大学	校园	["大学", "教育", "理工", "海洋", "化工"]	["化学工程", "船舶工程", "机械工程", "海洋科学"]	辽宁省大连市甘井子区凌工路2号	校园参观时间：09:00-17:00（需预约）
place_033	辽宁大学	校园	["大学", "教育", "综合", "经济", "文史"]	["经济学", "哲学", "历史学", "文学研究"]	辽宁省沈阳市皇姑区崇山中路66号	校园参观时间：09:00-17:00（需预约）
place_034	大连海事大学	校园	["大学", "教育", "航运", "海事", "交通"]	["航海技术", "轮机工程", "交通运输", "海商法"]	辽宁省大连市甘井子区凌海路1号	校园参观时间：09:00-17:00（需预约）
place_035	吉林大学	校园	["大学", "教育", "综合", "汽车", "医学"]	["汽车工程", "医学科学", "地质勘探", "考古学"]	吉林省长春市前进大街2699号	校园参观时间：09:00-17:00（需预约）
place_036	东北师范大学	校园	["大学", "教育", "师范", "教育学", "心理学"]	["师范教育", "教育科学", "心理学", "基础教育"]	吉林省长春市人民大街5268号	校园参观时间：09:00-17:00（需预约）
place_037	延边大学	校园	["大学", "教育", "民族", "朝鲜族", "边疆"]	["民族教育", "朝鲜语言", "边疆研究", "国际交流"]	吉林省延吉市公园路977号	校园参观时间：09:00-17:00（需预约）
place_038	哈尔滨工业大学	校园	["大学", "教育", "航天", "工程", "机械"]	["航天工程", "机械工程", "计算机", "材料科学"]	黑龙江省哈尔滨市南岗区西大直街92号	校园参观时间：09:00-17:00（需预约）
place_039	哈尔滨工程大学	校园	["大学", "教育", "船舶", "海洋", "核能"]	["船舶工程", "海洋工程", "核技术", "动力工程"]	黑龙江省哈尔滨市南岗区南通大街145号	校园参观时间：09:00-17:00（需预约）
place_040	东北农业大学	校园	["大学", "教育", "农业", "生命科学", "食品"]	["农业科学", "生命科学", "食品科学", "动物医学"]	黑龙江省哈尔滨市香坊区木材街59号	校园参观时间：09:00-17:00（需预约）
place_041	东北林业大学	校园	["大学", "教育", "林业", "生态", "木材"]	["林业科学", "生态工程", "木材科学", "园林设计"]	黑龙江省哈尔滨市香坊区和兴路26号	校园参观时间：09:00-17:00（需预约）
place_042	南京大学	校园	["大学", "教育", "综合", "文理", "历史"]	["文理并重", "基础研究", "人文荟萃", "科学创新"]	江苏省南京市栖霞区仙林大道163号	校园参观时间：09:00-17:00（需预约）
place_043	东南大学	校园	["大学", "教育", "工科", "建筑", "电子"]	["建筑工程", "电子信息", "交通运输", "生物医学"]	江苏省南京市玄武区四牌楼2号	校园参观时间：09:00-17:00（需预约）
place_044	苏州大学	校园	["大学", "教育", "综合", "纺织", "医学"]	["纺织工程", "医学科学", "材料科学", "文学研究"]	江苏省苏州市姑苏区十梓街1号	校园参观时间：09:00-17:00（需预约）
place_045	南京师范大学	校园	["大学", "教育", "师范", "教育学", "文学"]	["师范教育", "教育科学", "文学研究", "心理学"]	江苏省南京市栖霞区文苑路1号	校园参观时间：09:00-17:00（需预约）
place_046	中国药科大学	校园	["大学", "教育", "药学", "医学", "生物"]	["药学研究", "生物制药", "中药学", "临床药学"]	江苏省南京市鼓楼区童家巷24号	校园参观时间：09:00-17:00（需预约）
place_047	河海大学	校园	["大学", "教育", "水利", "工程", "环境"]	["水利工程", "环境科学", "土木工程", "海洋工程"]	江苏省南京市鼓楼区西康路1号	校园参观时间：09:00-17:00（需预约）
place_048	南京理工大学	校园	["大学", "教育", "理工", "军工", "机械"]	["兵器科学", "机械工程", "化学工程", "电子信息"]	江苏省南京市玄武区孝陵卫200号	校园参观时间：09:00-17:00（需预约）
place_049	南京航空航天大学	校园	["大学", "教育", "航空", "航天", "民航"]	["航空工程", "航天技术", "民航管理", "机械制造"]	江苏省南京市秦淮区御道街29号	校园参观时间：09:00-17:00（需预约）
place_050	江南大学	校园	["大学", "教育", "轻工", "食品", "生物"]	["食品科学", "轻工技术", "生物工程", "纺织科学"]	江苏省无锡市蠡湖大道1800号	校园参观时间：09:00-17:00（需预约）
place_051	中国矿业大学	校园	["大学", "教育", "矿业", "安全", "地质"]	["矿业工程", "安全科学", "地质工程", "测绘科学"]	江苏省徐州市大学路1号	校园参观时间：09:00-17:00（需预约）
place_052	浙江大学	校园	["大学", "教育", "综合", "创新", "国际"]	["综合实力", "创新创业", "国际化", "多学科"]	浙江省杭州市西湖区余杭塘路866号	校园参观时间：09:00-17:00（需预约）
place_053	中国科学技术大学	校园	["大学", "教育", "科技", "理学", "创新"]	["基础科学", "高新技术", "理论物理", "计算机科学"]	安徽省合肥市包河区金寨路96号	校园参观时间：09:00-17:00（需预约）
place_054	安徽大学	校园	["大学", "教育", "综合", "文史", "理工"]	["文史研究", "理工科学", "经济管理", "法学教育"]	安徽省合肥市肥西路3号	校园参观时间：09:00-17:00（需预约）
place_055	合肥工业大学	校园	["大学", "教育", "工科", "汽车", "机械"]	["汽车工程", "机械制造", "电子信息", "材料科学"]	安徽省合肥市屯溪路193号	校园参观时间：09:00-17:00（需预约）
place_056	厦门大学	校园	["大学", "教育", "综合", "海洋", "经济"]	["海洋科学", "经济学", "化学工程", "国际关系"]	福建省厦门市思明区思明南路422号	校园参观时间：09:00-17:00（需预约）
place_057	福州大学	校园	["大学", "教育", "理工", "化工", "土木"]	["化学工程", "土木工程", "机械工程", "电气工程"]	福建省福州市闽侯县上街镇大学新区学园路2号	校园参观时间：09:00-17:00（需预约）
place_058	南昌大学	校园	["大学", "教育", "综合", "医学", "材料"]	["医学科学", "材料科学", "食品工程", "新闻传播"]	江西省南昌市红谷滩新区学府大道999号	校园参观时间：09:00-17:00（需预约）
place_059	华东师范大学	校园	["大学", "教育", "师范", "心理学", "地理"]	["师范教育", "心理学", "地理科学", "教育科学"]	上海市普陀区中山北路3663号	校园参观时间：09:00-17:00（需预约）
place_060	上海外国语大学	校园	["大学", "教育", "外语", "国际", "翻译"]	["多语种教学", "国际关系", "翻译研究", "跨文化交流"]	上海市虹口区大连西路550号	校园参观时间：09:00-17:00（需预约）
place_061	上海财经大学	校园	["大学", "教育", "财经", "经济", "金融"]	["经济学", "金融学", "会计学", "统计学"]	上海市杨浦区国定路777号	校园参观时间：09:00-17:00（需预约）
place_062	山东大学	校园	["大学", "教育", "综合", "历史", "文理"]	["综合实力", "文史哲学", "理工科学", "医学教育"]	山东省济南市历城区山大南路27号	校园参观时间：09:00-17:00（需预约）
place_063	中国海洋大学	校园	["大学", "教育", "海洋", "水产", "环境"]	["海洋科学", "水产养殖", "海洋工程", "环境科学"]	山东省青岛市崂山区松岭路238号	校园参观时间：09:00-17:00（需预约）
place_064	中国石油大学(华东)	校园	["大学", "教育", "石油", "化工", "工程"]	["石油工程", "化学工程", "地质勘探", "海洋油气"]	山东省青岛市黄岛区长江西路66号	校园参观时间：09:00-17:00（需预约）
place_065	郑州大学	校园	["大学", "教育", "综合", "医学", "工程"]	["医学科学", "工程技术", "文史研究", "综合发展"]	河南省郑州市科学大道100号	校园参观时间：09:00-17:00（需预约）
place_066	华中科技大学	校园	["大学", "教育", "科技", "医学", "工程"]	["工程技术", "医学科学", "光电技术", "机械制造"]	湖北省武汉市洪山区珞喻路1037号	校园参观时间：09:00-17:00（需预约）
place_067	武汉大学	校园	["大学", "教育", "综合", "樱花", "人文"]	["人文社科", "理学研究", "工程技术", "医学教育"]	湖北省武汉市武昌区珞珈山	校园参观时间：09:00-17:00（需预约）
place_068	华中师范大学	校园	["大学", "教育", "师范", "教育学", "心理学"]	["师范教育", "教育科学", "心理学", "文学研究"]	湖北省武汉市洪山区珞喻路152号	校园参观时间：09:00-17:00（需预约）
place_069	华中农业大学	校园	["大学", "教育", "农业", "生命科学", "生物"]	["农业科学", "生命科学", "生物技术", "食品科学"]	湖北省武汉市洪山区狮子山街1号	校园参观时间：09:00-17:00（需预约）
place_070	中南财经政法大学	校园	["大学", "教育", "财经", "法学", "管理"]	["经济学", "法学教育", "管理科学", "财政金融"]	湖北省武汉市东湖新技术开发区南湖大道182号	校园参观时间：09:00-17:00（需预约）
place_071	中国地质大学(武汉)	校园	["大学", "教育", "地质", "地球科学", "资源"]	["地球科学", "地质工程", "资源勘探", "环境地质"]	湖北省武汉市洪山区鲁磨路388号	校园参观时间：09:00-17:00（需预约）
place_072	湖南大学	校园	["大学", "教育", "综合", "历史", "岳麓"]	["机械工程", "土木工程", "化学化工", "经济管理"]	湖南省长沙市岳麓区麓山南路2号	校园参观时间：09:00-17:00（需预约）
place_073	中南大学	校园	["大学", "教育", "工医", "材料", "交通"]	["材料科学", "医学科学", "交通运输", "矿物工程"]	湖南省长沙市麓山南路932号	校园参观时间：09:00-17:00（需预约）
place_074	湖南师范大学	校园	["大学", "教育", "师范", "文学", "历史"]	["师范教育", "文学研究", "历史学", "教育科学"]	湖南省长沙市岳麓区麓山路36号	校园参观时间：09:00-17:00（需预约）
place_075	中山大学	校园	["大学", "教育", "综合", "医学", "管理"]	["医学科学", "管理学", "哲学社科", "理学研究"]	广东省广州市海珠区新港西路135号	校园参观时间：09:00-17:00（需预约）
place_076	暨南大学	校园	["大学", "教育", "华侨", "新闻", "经济"]	["华侨教育", "新闻传播", "经济管理", "医学教育"]	广东省广州市天河区黄埔大道西601号	校园参观时间：09:00-17:00（需预约）
place_077	华南理工大学	校园	["大学", "教育", "理工", "建筑", "化工"]	["建筑工程", "化学工程", "材料科学", "电子信息"]	广东省广州市天河区五山路381号	校园参观时间：09:00-17:00（需预约）
place_078	华南师范大学	校园	["大学", "教育", "师范", "心理学", "体育"]	["师范教育", "心理学", "体育科学", "教育技术"]	广东省广州市天河区中山大道西55号	校园参观时间：09:00-17:00（需预约）
place_079	广西大学	校园	["大学", "教育", "综合", "农业", "工程"]	["农业科学", "工程技术", "文理并重", "民族特色"]	广西壮族自治区南宁市西乡塘区大学东路100号	校园参观时间：09:00-17:00（需预约）
place_080	海南大学	校园	["大学", "教育", "热带", "海洋", "旅游"]	["热带农业", "海洋科学", "旅游管理", "法学教育"]	海南省海口市美兰区人民大道58号	校园参观时间：09:00-17:00（需预约）
place_081	华南农业大学	校园	["大学", "教育", "农业", "生命科学", "热带"]	["热带农业", "生命科学", "食品科学", "园艺学"]	广东省广州市天河区五山路483号	校园参观时间：09:00-17:00（需预约）
place_082	重庆大学	校园	["大学", "教育", "综合", "建筑", "机械"]	["建筑工程", "机械工程", "电气工程", "材料科学"]	重庆市沙坪坝区沙正街174号	校园参观时间：09:00-17:00（需预约）
place_083	西南大学	校园	["大学", "教育", "师范", "农业", "综合"]	["师范教育", "农业科学", "心理学", "教育学"]	重庆市北碚区天生路2号	校园参观时间：09:00-17:00（需预约）
place_084	四川大学	校园	["大学", "教育", "综合", "医学", "文史"]	["医学科学", "文史哲学", "工程技术", "基础科学"]	四川省成都市武侯区一环路南一段24号	校园参观时间：09:00-17:00（需预约）
place_085	西南交通大学	校园	["大学", "教育", "交通", "工程", "铁路"]	["交通运输", "土木工程", "机械工程", "电气工程"]	四川省成都市金牛区二环路北一段111号	校园参观时间：09:00-17:00（需预约）
place_086	电子科技大学	校园	["大学", "教育", "电子", "信息", "通信"]	["电子信息", "通信工程", "计算机", "集成电路"]	四川省成都市高新区西区西源大道2006号	校园参观时间：09:00-17:00（需预约）
place_087	四川农业大学	校园	["大学", "教育", "农业", "生物", "科技"]	["农业科学", "生物技术", "动物科学", "食品科学"]	四川省雅安市雨城区新康路46号	校园参观时间：09:00-17:00（需预约）
place_088	贵州大学	校园	["大学", "教育", "综合", "民族", "资源"]	["民族文化", "资源环境", "农业科学", "工程技术"]	贵州省贵阳市花溪区	校园参观时间：09:00-17:00（需预约）
place_089	云南大学	校园	["大学", "教育", "综合", "民族", "生态"]	["民族学", "生态学", "生物多样性", "国际关系"]	云南省昆明市翠湖北路2号	校园参观时间：09:00-17:00（需预约）
place_090	西藏大学	校园	["大学", "教育", "民族", "藏学", "高原"]	["藏学研究", "民族文化", "高原生态", "藏医学"]	西藏自治区拉萨市城关区江苏路36号	校园参观时间：09:00-17:00（需预约）
place_091	西北大学	校园	["大学", "教育", "综合", "地质", "考古"]	["地质学", "考古学", "化学工程", "经济学"]	陕西省西安市碑林区太白北路229号	校园参观时间：09:00-17:00（需预约）
place_092	西安交通大学	校园	["大学", "教育", "理工", "医学", "管理"]	["机械工程", "电气工程", "医学科学", "管理科学"]	陕西省西安市碑林区咸宁西路28号	校园参观时间：09:00-17:00（需预约）
place_093	西北工业大学	校园	["大学", "教育", "航空", "航天", "航海"]	["航空工程", "航天技术", "航海工程", "材料科学"]	陕西省西安市碑林区友谊西路127号	校园参观时间：09:00-17:00（需预约）
place_094	西安电子科技大学	校园	["大学", "教育", "电子", "信息", "通信"]	["电子信息", "通信工程", "计算机", "网络安全"]	陕西省西安市雁塔区太白南路2号	校园参观时间：09:00-17:00（需预约）
place_095	长安大学	校园	["大学", "教育", "交通", "公路", "工程"]	["交通运输", "公路工程", "汽车工程", "地质工程"]	陕西省西安市南二环路中段	校园参观时间：09:00-17:00（需预约）
place_096	西北农林科技大学	校园	["大学", "教育", "农林", "水利", "生态"]	["农林科学", "水土保持", "生态环境", "食品科学"]	陕西省咸阳市杨陵区邰城路3号	校园参观时间：09:00-17:00（需预约）
place_097	兰州大学	校园	["大学", "教育", "综合", "化学", "大气"]	["化学科学", "大气科学", "草地农业", "核科学"]	甘肃省兰州市城关区天水南路222号	校园参观时间：09:00-17:00（需预约）
place_098	青海大学	校园	["大学", "教育", "综合", "高原", "民族"]	["高原医学", "农牧科学", "盐湖化工", "民族文化"]	青海省西宁市城北区宁大路251号	校园参观时间：09:00-17:00（需预约）
place_099	宁夏大学	校园	["大学", "教育", "综合", "民族", "西部"]	["民族学", "西部发展", "农业科学", "化学工程"]	宁夏回族自治区银川市西夏区贺兰山西路489号	校园参观时间：09:00-17:00（需预约）
place_100	新疆大学	校园	["大学", "教育", "综合", "民族", "丝路"]	["民族学", "中亚研究", "化学工程", "纺织工程"]	新疆维吾尔自治区乌鲁木齐市胜利路666号	校园参观时间：09:00-17:00（需预约）
place_101	石河子大学	校园	["大学", "教育", "农业", "兵团", "边疆"]	["农业科学", "兵团文化", "边疆建设", "医学教育"]	新疆维吾尔自治区石河子市北四路	校园参观时间：09:00-17:00（需预约）
place_102	故宫博物院	景区	["故宫", "北京", "历史文化", "皇宫", "明清建筑"]	["世界文化遗产", "明清皇宫", "古建筑群", "文物珍藏"]	北京市东城区景山前街4号	08:30-17:00
place_103	天坛公园	景区	["天坛", "北京", "祭天建筑", "明清古迹", "皇家园林"]	["世界文化遗产", "祭天圣地", "古建筑艺术", "皇家园林"]	北京市东城区天坛路甲1号	06:00-22:00
place_104	颐和园	景区	["颐和园", "北京", "皇家园林", "昆明湖", "万寿山"]	["世界文化遗产", "皇家园林", "湖光山色", "古典建筑"]	北京市海淀区新建宫门路19号	06:30-18:00
place_105	八达岭长城	景区	["长城", "北京", "万里长城", "明代建筑", "世界奇迹"]	["世界文化遗产", "万里长城", "军事防御", "历史遗迹"]	北京市延庆区G6京藏高速58号出口	07:00-18:00
place_106	明十三陵	景区	["明十三陵", "北京", "皇家陵寝", "明代历史", "古建筑群"]	["世界文化遗产", "皇家陵寝", "明代建筑", "历史文化"]	北京市昌平区十三陵镇	08:00-17:30
place_107	恭王府	景区	["恭王府", "北京", "王府建筑", "清代府邸", "古典园林"]	["清代王府", "古典园林", "历史建筑", "文化遗产"]	北京市西城区柳荫街甲14号	08:30-17:00
place_108	奥林匹克公园	景区	["奥林匹克公园", "北京", "鸟巢", "水立方", "现代建筑"]	["奥运场馆", "现代建筑", "体育文化", "城市地标"]	北京市朝阳区北四环中路奥林匹克公园	全天开放
place_109	圆明园	景区	["圆明园", "北京", "皇家园林", "历史遗址", "爱国教育"]	["皇家园林遗址", "历史教育", "文化遗产", "爱国主义"]	北京市海淀区清华西路28号	07:00-19:00
place_110	天津古文化街	景区	["古文化街", "天津", "传统文化", "民俗风情", "津门故里"]	["传统文化", "民俗风情", "古建筑", "特色商街"]	天津市南开区古文化街	09:00-21:00
place_111	盘山风景名胜区	景区	["盘山", "天津", "自然风光", "佛教文化", "山水景观"]	["自然风光", "佛教文化", "山水景观", "历史古迹"]	天津市蓟州区盘山风景名胜区	08:00-17:00
place_112	山海关景区	景区	["山海关", "河北", "长城", "天下第一关", "历史要塞"]	["万里长城东端", "天下第一关", "军事要塞", "历史文化"]	河北省秦皇岛市山海关区	07:30-18:00
place_113	白洋淀景区	景区	["白洋淀", "河北", "湿地", "水乡风情", "生态旅游"]	["华北明珠", "湿地生态", "水乡风情", "红色文化"]	河北省保定市安新县白洋淀景区	08:00-18:00
place_114	承德避暑山庄	景区	["避暑山庄", "承德", "皇家园林", "清代建筑", "避暑胜地"]	["世界文化遗产", "皇家园林", "清代建筑", "避暑胜地"]	河北省承德市双桥区丽正门大街22号	08:00-17:30
place_115	野三坡景区	景区	["野三坡", "河北", "自然风光", "峡谷景观", "地质奇观"]	["自然风光", "峡谷景观", "地质奇观", "生态旅游"]	河北省保定市涞水县野三坡镇	08:00-17:00
place_116	西柏坡景区	景区	["西柏坡", "河北", "红色旅游", "革命圣地", "历史教育"]	["革命圣地", "红色教育", "历史文化", "爱国主义"]	河北省石家庄市平山县西柏坡镇	08:30-17:30
place_117	云冈石窟	景区	["云冈石窟", "山西", "佛教石窟", "古代艺术", "文化遗产"]	["世界文化遗产", "佛教石窟", "古代艺术", "北魏文化"]	山西省大同市云冈区云冈镇	08:30-17:20
place_118	五台山风景名胜区	景区	["五台山", "山西", "佛教名山", "文殊菩萨", "宗教文化"]	["世界文化遗产", "佛教圣地", "文殊道场", "古建筑群"]	山西省忻州市五台县台怀镇	06:00-18:30
place_119	皇城相府	景区	["皇城相府", "山西", "明清建筑", "古堡建筑", "历史文化"]	["明清古建筑", "古堡建筑群", "历史文化", "康熙字典"]	山西省晋城市阳城县北留镇皇城村	08:00-18:00
place_120	绵山景区	景区	["绵山", "山西", "自然风光", "道教文化", "寒食节"]	["自然风光", "道教文化", "寒食节起源", "山水景观"]	山西省晋中市介休市绵山镇	08:00-18:00
place_121	平遥古城	景区	["平遥古城", "山西", "古城墙", "明清建筑", "金融文化"]	["世界文化遗产", "古城墙", "明清建筑", "票号文化"]	山西省晋中市平遥县	全天开放
place_122	响沙湾旅游景区	景区	["响沙湾", "内蒙古", "沙漠旅游", "响沙奇观", "生态体验"]	["沙漠奇观", "响沙现象", "生态旅游", "民族文化"]	内蒙古自治区鄂尔多斯市达拉特旗响沙湾	08:00-18:00
place_123	成吉思汗陵旅游区	景区	["成吉思汗陵", "内蒙古", "蒙古文化", "历史名人", "草原风情"]	["蒙古文化", "历史纪念", "草原风光", "民族风情"]	内蒙古自治区鄂尔多斯市伊金霍洛旗成吉思汗陵	08:00-18:30
place_124	沈阳植物园	景区	["植物园", "沈阳", "生态旅游", "植物科普", "休闲观光"]	["植物科普", "生态教育", "休闲观光", "四季花卉"]	辽宁省沈阳市浑南区双园路301号	08:00-17:00
place_125	大连老虎滩海洋公园	景区	["老虎滩", "大连", "海洋公园", "海洋动物", "亲子旅游"]	["海洋动物", "科普教育", "亲子娱乐", "海洋文化"]	辽宁省大连市中山区滨海中路9号	08:00-17:00
place_126	金石滩景区	景区	["金石滩", "大连", "海滨风光", "地质奇观", "度假胜地"]	["海滨风光", "地质奇观", "度假休闲", "海蚀地貌"]	辽宁省大连市金州区金石滩国家旅游度假区	08:00-17:30
place_127	伪满皇宫博物院	景区	["伪满皇宫", "长春", "历史教育", "近代史", "爱国主义"]	["历史教育", "近代史迹", "爱国主义", "文物展示"]	吉林省长春市宽城区光复北路5号	08:30-17:00
place_128	长白山景区	景区	["长白山", "吉林", "天池", "火山地貌", "自然保护区"]	["天池奇观", "火山地貌", "原始森林", "生物多样性"]	吉林省白山市抚松县长白山保护开发区	07:00-16:00
place_129	净月潭景区	景区	["净月潭", "长春", "森林公园", "人工湖泊", "生态旅游"]	["森林公园", "人工湖泊", "生态旅游", "休闲度假"]	吉林省长春市南关区净月大街5840号	06:00-18:00
place_130	太阳岛景区	景区	["太阳岛", "哈尔滨", "湿地公园", "冰雪文化", "休闲度假"]	["湿地公园", "冰雪文化", "休闲度假", "生态观光"]	黑龙江省哈尔滨市松北区太阳岛风景区	08:00-17:00
place_131	五大连池景区	景区	["五大连池", "黑龙江", "火山地质", "矿泉疗养", "地质公园"]	["火山地质", "矿泉疗养", "地质奇观", "生态保护"]	黑龙江省黑河市五大连池市五大连池镇	08:00-17:00
place_132	东方明珠广播电视塔	景区	["东方明珠", "上海", "电视塔", "城市地标", "观光塔"]	["城市地标", "观光塔", "现代建筑", "夜景观赏"]	上海市浦东新区世纪大道1号	08:00-21:30
place_133	上海野生动物园	景区	["野生动物园", "上海", "动物保护", "科普教育", "亲子旅游"]	["野生动物", "科普教育", "亲子娱乐", "动物保护"]	上海市浦东新区南六公路178号	08:00-17:00
place_134	上海科技馆	景区	["科技馆", "上海", "科普教育", "现代科技", "互动体验"]	["科普教育", "互动体验", "现代科技", "寓教于乐"]	上海市浦东新区世纪大道2000号	09:00-17:15
place_135	钟山风景名胜区	景区	["钟山", "南京", "中山陵", "历史文化", "陵园建筑"]	["历史文化", "陵园建筑", "自然风光", "爱国教育"]	江苏省南京市玄武区石象路7号	06:30-18:30
place_136	夫子庙秦淮风光带	景区	["夫子庙", "南京", "秦淮河", "古建筑", "文化街区"]	["古建筑群", "文化街区", "秦淮风光", "民俗文化"]	江苏省南京市秦淮区夫子庙街道	全天开放
place_137	无锡影视基地三国水浒景区	景区	["影视基地", "无锡", "三国", "水浒", "古装拍摄"]	["影视拍摄", "古装体验", "文化娱乐", "主题公园"]	江苏省无锡市滨湖区山水西路128号	08:00-17:00
